282,1,轞,-,pojazd do transportowania więźniów,
283,1,轝,-,"nie lubić
czuć niechęć
czuć odrazę
zazdrość
zawiść
nienawidzić
uraza
żal",
284,1,輥,-,"obracać
krążyć
kołować
obrócić
wałek
rolka
krążek",
285,1,輧,-,kareta z zasłonkami używana przez kobiety,
286,1,輠,-,pojemnik ze smarem pod osią wozu,
287,1,輬,-,"karawan
powóz
wóz",
288,1,輭,-,"słaby
kiepski
wątły
anemiczny
elastyczny
giętki
gibki",
289,1,輮,-,zewnętrzna obręcz koła,
290,1,輵,-,wielki szyk z włóczniami i wozami,
291,1,輴,-,"sanie
sanki",
292,1,輶,-,"światło
oświetlenie
lampa
oświetlenie powozu
drobny
błahy
znikomy",
293,1,輹,-,"połączenie pomiędzy osią, a wozem",
294,1,輇,-,"koła wozu bez szprych
koła wozu bez szczebli",
295,1,輅,-,"powóz
kareta
wóz",
296,1,輏,-,"światło
oświetlenie
lampa
oświetlenie powozu",
297,1,輗,-,poprzeczna belka powozu,
298,1,輟,-,"naprawiać
reperować
łatać
zatrzymywać",
299,1,輞,-,zewnętrzna obręcz koła,
300,1,輙,-,bok powozu,
301,1,輘,-,"dudnienie wozu
koleiny zrobione przez powozy",
302,1,軺,-,małe światełko powozu,
303,1,軹,-,"rozbieżny
niezgodny
zakończenie ośki",
304,1,軼,-,"podać
podawać
przekazać",
305,1,軰,-,"klasa
generacja
pokolenie
oznaczenie liczby mnogiej
szereg powozów
szereg wozów",
306,1,軷,-,"ofiara
poświęcenie",
307,1,軨,-,krata na przodzie i po bokach,
308,1,軔,-,blokada niepozwalająca kołom (kierownicy) poruszanie się,
309,1,軏,-,poprzeczna belka powozu,
310,1,軅,-,"wszak
wszakże
przecież
prawie
niemal
sokół
jastrząb
nie więcej niż
wkrótce
niebawem",
311,1,軄,-,"urząd
gabinet
biuro
rządzić
kierować
zarządzać
nadzorować
doglądać",
312,1,軆,-,"klasa
grupa
jednostka
zespół
oddział",
