97,WORD_NOUN,,HIRAGANA,Genki 1-1,,韓国,かんこく,,kankoku,"Korea Południowa (państwo w Azji Wschodniej, w południowej części Półwyspu Koreańskiego utworzone po II wojnie światowej na terenach zajętych przez wojska Stanów Zjednoczonych)
Republika Korei (państwo w Azji Wschodniej, w południowej części Półwyspu Koreańskiego utworzone po II wojnie światowej na terenach zajętych przez wojska Stanów Zjednoczonych)
Królestwo Korei (1897-1910) (termin historyczny)",skrót,DICTIONARY2_SOURCE,DUPLICATE 68215,GroupId: 1216170
98,WORD_NOUN,,KATAKANA_EXCEPTION,Genki 1-1,,瑞典,スエーデン,,Sueeden,Szwecja,pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,"DUPLICATE 1728
DUPLICATE 145285
DUPLICATE 172492",GroupId: 1067410
99,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-4
Genki kanji 1-6",,中国,ちゅうごく,,chuugoku,"Chiny
region Chūgoku (zachodnia część Honshu obejmująca prefektury Okayama, Hiroshima, Yamaguchi, Tottori i Shimane)
centralna część kraju
główny region
prowincja z drugą najniższą rangą (termin historyczny; również czytane jako ちゅうこく)",,DICTIONARY2_SOURCE,DUPLICATE 144454,GroupId: 1424270
100,WORD_NOUN,,HIRAGANA,Genki 1-1,,科学,かがく,,kagaku,"nauka
wiedza
myśleć naukowo
myśleć w kategoriach naukowych",,DICTIONARY2_SOURCE,,GroupId: 1192700
101,WORD_NOUN,,HIRAGANA_KATAKANA,Genki 1-1,,アジア研究,アジアけんきゅう,,ajia kenkyuu,orientalistyka,,IGNORE_NO_JMEDICT,,
102,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 2-21",,経済,けいざい,,keizai,"ekonomia
finanse
okoliczności finansowe
bycie ekonomicznym
gospodarność
gospodarowanie",,DICTIONARY2_SOURCE,,GroupId: 1251320
103,WORD_NOUN,,HIRAGANA,Genki 1-1,,国際関係,こくさいかんけい,,kokusai kankei,stosunki międzynarodowe,,DICTIONARY2_SOURCE,,GroupId: 1286430
104,WORD_NOUN,,KATAKANA,Genki 1-1,,-,コンピューター,,konpyuutaa,komputer,ang: computer,DICTIONARY2_SOURCE,,GroupId: 1053350
105,WORD_NOUN,,HIRAGANA,Genki 1-1,,人類学,じんるいがく,,jinruigaku,antropologia,,DICTIONARY2_SOURCE,,GroupId: 1369560
106,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki 1-12",,政治,せいじ,,seiji,"polityka
rząd
rządzenie",,DICTIONARY2_SOURCE,,GroupId: 1375970
107,WORD_NOUN,,KATAKANA,Genki 1-1,,-,ビジネス,,bijinesu,"biznes
interes",ang: business,DICTIONARY2_SOURCE,,GroupId: 1104780
108,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-7",,文学,ぶんがく,,bungaku,literatura,,DICTIONARY2_SOURCE,,GroupId: 1505190
109,WORD_NOUN,,HIRAGANA,Genki 1-1,,歴史,れきし,,rekishi,"historia
dzieje",,DICTIONARY2_SOURCE,,GroupId: 1558050
110,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki 1-8
Genki kanji 1-8",,仕事,しごと,,shigoto,"praca
zajęcie
zatrudnienie
zawód
posada
zadanie
obowiązki
przedsięwzięcie
praca (fizyka)",,DICTIONARY2_SOURCE,,GroupId: 1304970
111,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki 1-10
Genki kanji 2-14",,医者,いしゃ,,isha,"lekarz
doktor",zwykle używane jako お医者さん w uprzejmiej mowie,DICTIONARY2_SOURCE,,GroupId: 1159980
112,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki 1-8
Genki kanji 1-7
Genki kanji 1-8",,会社員,かいしゃいん,,kaishain,"pracownik biurowy
pracownik firmy",,DICTIONARY2_SOURCE,,GroupId: 1198560
113,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-7",,高校生,こうこうせい,,koukousei,"licealista
licealistka
uczeń szkoły średniej",,DICTIONARY2_SOURCE,,GroupId: 1283510
114,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki 1-11
Genki kanji 2-17",,主婦,しゅふ,,shufu,"gospodyni domowa
pani domu",,DICTIONARY2_SOURCE,,GroupId: 1326160
115,WORD_NOUN,,HIRAGANA,Genki 1-1,,大学院生,だいがくいんせい,,daigakuinsei,"student (studia podyplomowe, magisterskie)
słuchacz studium podyplomowego
magistrant
student studiów magisterskich
doktorant, student studiów doktoranckich",,DICTIONARY2_SOURCE,,GroupId: 2077500
116,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki 1-8
Genki kanji 1-6",,大学生,だいがくせい,,daigakusei,"student uniwersytetu
student college'u",,"DICTIONARY2_SOURCE
EDICT_TRANSLATE_INFO_GROUP_DIFF",,GroupId: 1413260
117,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki 1-11
Genki 2-13",,弁護士,べんごし,,bengoshi,"prawnik
adwokat
obrońca
mecenas",,DICTIONARY2_SOURCE,,GroupId: 1512850
118,"WORD_NOUN
WORD_PRONOUN",,HIRAGANA,"Genki 1-1
Genki 1-7
Genki kanji 1-7",,お母さん,おかあさん,,okaa san,"matka (honoryfikatywnie; spoza swojej rodziny lub własna rodzina - nieformalnie)
mama (honoryfikatywnie; spoza swojej rodziny lub własna rodzina - nieformalnie)
żona (honoryfikatywnie)
ty (język poufały; do osoby starszej od mówcy)
ona (język poufały; do osoby starszej od mówcy)
jej (język poufały; do osoby starszej od mówcy)",,DICTIONARY2_SOURCE,DUPLICATE 313772,GroupId: 1002650
119,"WORD_NOUN
WORD_PRONOUN",,HIRAGANA,"Genki 1-1
Genki 1-7
Genki kanji 1-7",,お父さん,おとうさん,,otousan,"ojciec (honoryfikatywnie; spoza swojej rodziny lub własna rodzina - nieformalnie)
tata (honoryfikatywnie; spoza swojej rodziny lub własna rodzina - nieformalnie)
tatuś (honoryfikatywnie; spoza swojej rodziny lub własna rodzina - nieformalnie)
mąż (honoryfikatywnie)
ty (język poufały; do osoby starszej od mówcy)
on (język poufały; do osoby starszej od mówcy)
jego (język poufały; do osoby starszej od mówcy)",,DICTIONARY2_SOURCE,DUPLICATE 26020,GroupId: 1002590
120,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki 1-7
Genki kanji 2-19",,お姉さん,おねえさん,,onee san,"starsza siostra (honoryfikatywnie; spoza swojej rodziny lub własna rodzina, nieformalnie, zwykle お姉さん)
siostra (starsza) (honoryfikatywnie; spoza swojej rodziny lub własna rodzina, nieformalnie, zwykle お姉さん)
młoda dama (wołacz)
młoda damo (wołacz)
panienka (wołacz)
panienko (wołacz)
pani (np. odnosząc się do kelnerki, zwykle お姐さん)
pani (używane przez gejszę w odniesieniu do swoich przełożonych, zwykle お姐さん)
starsza dziewczyna",,DICTIONARY2_SOURCE,,GroupId: 1001990
121,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki 1-7
Genki kanji 2-19",,お兄さん,おにいさん,,onii san,"starszy brat (honoryfikatywnie; spoza swojej rodziny lub własna rodzina, nieformalnie)
chłopak (język poufały; często jako wołacz)
młody mężczyzna (język poufały; często jako wołacz)
kolega (język poufały; często jako wołacz)
kumpel (język poufały; często jako wołacz)
koleżka (język poufały; często jako wołacz)",,DICTIONARY2_SOURCE,,GroupId: 1001830
122,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki 1-7
Genki kanji 2-21",,妹,いもうと,,imouto,młodsza siostra,własna rodzina,DICTIONARY2_SOURCE,DUPLICATE 68910,GroupId: 1524590
123,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki 1-7
Genki kanji 2-21",,弟,おとうと,,otouto,"młodszy brat (własna rodzina)
mały brat (własna rodzina)
braciszek (własna rodzina)
szwagier (młodszy brat małżonka lub młodszy mąż siostry)",,DICTIONARY2_SOURCE,"DUPLICATE 26027
DUPLICATE 26028
DUPLICATE 48138",GroupId: 1581930
124,"WORD_PRONOUN
WORD_ADVERB",,HIRAGANA,Genki 1-2,,此れ,これ,,kore,"ten (wskazanie przedmiotu znajdującego się w pobliżu mówiącego, działania mówiącego lub aktualnego tematu)
ta osoba (zwykle wskazuje kogoś z własnej grupy)
teraz (jako これから, これまで, etc.)
w tym momencie (w czasie) (jako これから, これまで, etc.)
tutaj (przestarzałe słowo)
używane do podkreślenia podmiotu zdania (formalny lub literacki termin)
ja (archaizm)
mnie (archaizm)",,DICTIONARY2_SOURCE,DUPLICATE 84069,GroupId: 1628530
125,WORD_PRONOUN,,HIRAGANA,Genki 1-2,,其れ,それ,,sore,"ten (wskazanie na przedmiot lub osobę znajdującą się w pobliżu słuchacza, działanie słuchacza lub coś, co ma na myśli)
tamten (wskazanie na przedmiot lub osobę znajdującą się w pobliżu słuchacza, działanie słuchacza lub coś, co ma na myśli)
to (wskazanie na przedmiot lub osobę znajdującą się w pobliżu słuchacza, działanie słuchacza lub coś, co ma na myśli)
wtedy
w tym momencie (w czasie)
tam (archaizm; wskazuje na miejsce niedaleko słuchacza)
ty (archaizm)",,DICTIONARY2_SOURCE,DUPLICATE 88752,GroupId: 1006970
126,"WORD_PRONOUN
WORD_NOUN",,HIRAGANA,Genki 1-2,,彼,あれ,,are,"to (wskazujący na coś odległego zarówno od mówiącego, jak i słuchającego (w przestrzeni, czasie lub psychologicznie), lub coś zrozumiałego bez bezpośredniego nazywania tego)
tam (wskazujący na coś odległego zarówno od mówiącego, jak i słuchającego (w przestrzeni, czasie lub psychologicznie), lub coś zrozumiałego bez bezpośredniego nazywania tego)
ta rzecz (wskazujący na coś odległego zarówno od mówiącego, jak i słuchającego (w przestrzeni, czasie lub psychologicznie), lub coś zrozumiałego bez bezpośredniego nazywania tego)
ta osoba (daleko od mówcy i osoby docelowej, używane w odniesieniu do osób równych lub niższych od siebie)
tamten (daleko od mówcy i osoby docelowej, używane w odniesieniu do osób równych lub niższych od siebie)
tamta (daleko od mówcy i osoby docelowej, używane w odniesieniu do osób równych lub niższych od siebie)
wtedy
wówczas
to miejsce (tam)
tam (potocznie; wyrażenie eufemistyczne; np. na genitaliach, szczególnie jako アレ)
tam na dole (potocznie; wyrażenie eufemistyczne; np. na genitaliach, szczególnie jako アレ)
okres (potocznie; wyrażenie eufemistyczne; szczególnie jako アレ)
miesiączka (potocznie; wyrażenie eufemistyczne; szczególnie jako アレ)
menstruacja (potocznie; wyrażenie eufemistyczne; szczególnie jako アレ)",pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,"DUPLICATE 882
DUPLICATE 99921
DUPLICATE 216612
DUPLICATE 227421",GroupId: 1000580
127,"WORD_PRONOUN
WORD_INTERJECTION",,HIRAGANA,Genki 1-2,,何れ,どれ,,dore,"który (z trzech lub więcej)
więc
zobaczmy
no już
no dalej",pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,"DUPLICATE 19212
DUPLICATE 19213",GroupId: 1009290
128,WORD_PRE_NOUN_ADJECTIVAL,,HIRAGANA,Genki 1-2,,此の,この,,kono,"ten (coś lub ktoś bliski mówcy lub pomysłami wyrażone przez mówcę, z rzeczownikiem)
ostatnie (np. kilka lat) (w odniesieniu do odcinka czasu lub daty)
przeszłe (w odniesieniu do odcinka czasu lub daty)
ty (jako ty kłamco) (dobitne, oskarżycielskie, obraźliwe)",pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,,GroupId: 1582920
129,"WORD_PRE_NOUN_ADJECTIVAL
WORD_INTERJECTION",,HIRAGANA,Genki 1-2,,其の,その,,sono,"ten (coś lub ktoś odległy od mówiącego, bliski słuchaczowi, działań słuchacza lub idee wyrażanych lub rozumianych przez słuchacza; z rzeczownikiem)
część (np. część druga) (z poprzedzającym numerem)
um ..
er ....
uh ...",,DICTIONARY2_SOURCE,,GroupId: 1006830
130,WORD_PRE_NOUN_ADJECTIVAL,,HIRAGANA,"Genki 1-1
Genki 1-2",,彼の,あの,,ano,"tam
tamta
tamto
tamten",pisanie zwykle z użyciem kana; daleko od mówcy i osoby docelowej lub sytuacji nieznanej mówcy i słuchaczowi; z rzeczownikiem,DICTIONARY2_SOURCE,"DUPLICATE 68
DUPLICATE 8322",GroupId: 1000420
131,WORD_PRE_NOUN_ADJECTIVAL,,HIRAGANA,Genki 1-2,,何の,どの,,dono,"który
jaki",pisanie zwykle z użyciem kana; z rzeczownikiem,DICTIONARY2_SOURCE,DUPLICATE 50706,GroupId: 1920240
132,WORD_PRONOUN,,HIRAGANA,Genki 1-2,,此処,ここ,,koko,"tutaj (I)
w tym miejscu
tutaj (II)
teraz
te minione ... (po którym następuje rzeczownik okresu trwania, np. trzy lata)
te ostatnie ... (po którym następuje rzeczownik okresu trwania, np. trzy lata)
następne ... (po którym następuje rzeczownik okresu trwania, np. kilka dni)",pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,,GroupId: 1288810
133,WORD_PRONOUN,,HIRAGANA,Genki 1-2,,其処,そこ,,soko,"tam (miejsce względnie blisko słuchacza)
tam (wspomniane miejsce)
następnie (o jakimś zdarzeniu, o którym właśnie mówiono)
że (o kwestii właśnie poruszonej)
ty (archaizm)",,DICTIONARY2_SOURCE,DUPLICATE 61782,GroupId: 1006670
134,"WORD_PRONOUN
WORD_NOUN",,HIRAGANA,Genki 1-2,,彼処,あそこ,,asoko,"tam (miejsce fizycznie odległe od mówcy i słuchacza)
tamto miejsce (miejsce fizycznie odległe od mówcy i słuchacza)
sam wiesz gdzie (miejsce fizycznie odległe od mówcy i słuchacza)
genitalia (potocznie; wyrażenie eufemistyczne)
intymne części ciała (potocznie; wyrażenie eufemistyczne)
tak daleko (coś psychologicznie odległego od mówcy i słuchacza)
tak dużo (coś psychologicznie odległego od mówcy i słuchacza)
ten punkt (coś psychologicznie odległego od mówcy i słuchacza)",pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,"DUPLICATE 26040
DUPLICATE 48140
DUPLICATE 48141
DUPLICATE 322602",GroupId: 1000320
135,WORD_PRONOUN,,HIRAGANA,Genki 1-2,,何処,どこ,,doko,"gdzie (miejsce)
ile (jak daleko)
do jakiego stopnia
w jakim zakresie",pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,"DUPLICATE 26043
DUPLICATE 26044
DUPLICATE 26045
DUPLICATE 51907",GroupId: 1577140
136,WORD_PRONOUN,,HIRAGANA,Genki 1-2,,誰,だれ,,dare,"kto
który
czyj",だあれ jest stanowczy lub dociekliwy,DICTIONARY2_SOURCE,"DUPLICATE 81844
DUPLICATE 171020
DUPLICATE 304473",GroupId: 1416830
137,WORD_ADJECTIVE_I,,HIRAGANA,Genki 1-2,,美味しい,おいしい,,oishii,"smaczny
smakowity
pyszny
wyśmienity
rozkoszny
atrakcyjny (np. oferta, okazja)
pociągający
kuszący
opłacalny
zyskowny",pisanie zwykle z użyciem kana,"EDICT_TRANSLATE_INFO_GROUP_DIFF
DICTIONARY2_SOURCE",DUPLICATE 29663,GroupId: 1486650
138,WORD_NOUN,,HIRAGANA,"Genki 1-2
Genki kanji 2-15",,魚,さかな,,sakana,ryba,,DICTIONARY2_SOURCE,DUPLICATE 26053,GroupId: 1578010
139,WORD_NOUN,,HIRAGANA_KATAKANA,Genki 1-2,,豚カツ,とんカツ,,ton katsu,tonkatsu,"jedzenie, gotowanie; pisanie zwykle z użyciem kana; panierowany kotlet wieprzowy",DICTIONARY2_SOURCE,,GroupId: 1457410
140,WORD_NOUN,,HIRAGANA,"Genki 1-2
Genki kanji 2-13",,肉,にく,,niku,"mięso (I)
tkanka
mięso (II)
miąższość owocu
ciało (jako przeciwieństwo ducha)
fizyczne ciało (jako przeciwieństwo ducha)
miąższość
zawartość
kwintesencja
poduszeczka do tuszu",,DICTIONARY2_SOURCE,DUPLICATE 48146,GroupId: 1463520
141,WORD_NOUN,,KATAKANA,Genki 1-2,,-,メニュー,,menyuu,"menu
program
plan
harmonogram
kurs
menu (informatyka)",,DICTIONARY2_SOURCE,,GroupId: 1133790
142,WORD_NOUN,,HIRAGANA,"Genki 1-2
Genki kanji 2-17",,野菜,やさい,,yasai,"warzywa
warzywo
jarzyna
jarzyny
marihuana (slang)
haszysz (slang)",,DICTIONARY2_SOURCE,,GroupId: 1537370
143,WORD_NOUN,,HIRAGANA,Genki 1-2,,鉛筆,えんぴつ,,enpitsu,ołówek,"drewniany, ang: pencil",DICTIONARY2_SOURCE,DUPLICATE 77898,GroupId: 1178590
144,WORD_NOUN,,HIRAGANA,Genki 1-2,,傘,かさ,,kasa,"parasol
parasolka
coś w kształcie parasola lub stożkowego kapelusza
abażur lampy
klosz lampy
kapelusz grzyba",,DICTIONARY2_SOURCE,DUPLICATE 68139,GroupId: 1301940
145,WORD_NOUN,,HIRAGANA,Genki 1-2,,鞄,かばん,,kaban,"torba
teczka
tornister
aktówka
koszyk",pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,,GroupId: 1208910
146,WORD_NOUN,,HIRAGANA,Genki 1-2,,靴,くつ,,kutsu,"but
buty
obuwie",,DICTIONARY2_SOURCE,,GroupId: 1246700
147,WORD_NOUN,,HIRAGANA,Genki 1-2,,財布,さいふ,,saifu,"portfel
portmonetka",,DICTIONARY2_SOURCE,,GroupId: 1296970
148,WORD_NOUN,,KATAKANA,Genki 1-2,,-,ジーンズ,,jiinzu,"jeansy (ang: jeans)
dżinsy (ang: jeans)
drelich
dżins
jean",,DICTIONARY2_SOURCE,,GroupId: 1064120
149,WORD_NOUN,,HIRAGANA,"Genki 1-2
Genki kanji 1-9",,辞書,じしょ,,jisho,"słownik
leksykon
list rezygnacyjny (archaizm)",,DICTIONARY2_SOURCE,,GroupId: 1318970
150,WORD_NOUN,,HIRAGANA,"Genki 1-2
Genki kanji 1-8
Genki kanji 1-10
Genki kanji 2-15",,自転車,じてんしゃ,,jitensha,rower,,DICTIONARY2_SOURCE,DUPLICATE 26099,GroupId: 1318290
151,WORD_NOUN,,HIRAGANA,"Genki 1-2
Genki kanji 1-8",,新聞,しんぶん,,shinbun,gazeta,,DICTIONARY2_SOURCE,,GroupId: 1362360
152,WORD_NOUN,,KATAKANA,Genki 1-2,,-,テープ,,teepu,"kaseta
taśma",ang: tape,DICTIONARY2_SOURCE,,GroupId: 1078750
153,WORD_NOUN,,HIRAGANA,"Genki 1-2
Genki kanji 1-3
Genki kanji 2-21",,時計,とけい,,tokei,"zegar
zegarek
czasomierz",,DICTIONARY2_SOURCE,,GroupId: 1316140
154,WORD_NOUN,,KATAKANA,Genki 1-2,,-,トレーナー,,toreenaa,"trener (osoba, która trenuje osoby lub zwierzęta)
bluza",,DICTIONARY2_SOURCE,,GroupId: 1087090
155,WORD_NOUN,,KATAKANA,Genki 1-2,,-,ノート,,nooto,"notes (skrót; ang: note)
notatnik (skrót; ang: note)
zeszyt (skrót; ang: note)
notatka (ang: note)
notatki (ang: note)
zapis (ang: note)
zapisanie (czegoś) (ang: note)
nuta (ang: note)
nuty (ang: note)
laptop (skrót)
notebook (skrót)
komputer przenośny (skrót)",,DICTIONARY2_SOURCE,,GroupId: 1093450
156,WORD_NOUN,,KATAKANA,Genki 1-2,,-,ペン,,pen,"długopis
pióro",ang: pen,DICTIONARY2_SOURCE,DUPLICATE 288030,GroupId: 1121380
157,WORD_NOUN,,HIRAGANA,Genki 1-2,,帽子,ぼうし,,boushi,"kapelusz
czapka
??? (ruch) (go (gra); zwykle ボウシ)",,DICTIONARY2_SOURCE,DUPLICATE 320630,GroupId: 1519170
158,"WORD_NOUN
WORD_COUNTER
WORD_PREFIX",,HIRAGANA,"Genki 1-2
Klasyfikatory
Genki kanji 1-4",,本,ほん,,hon,"książka
tom
pismo
teraz
obecnie
główny
zasadniczy
prawdziwy
realny
regularny
klasyfikator na długie, cienkie obiekty (np. patyki, rurki, sznurki, butelki, filary, rzeki, linie kolejowe itp.)
klasyfikator na filmy, seriale TV i etc
klasyfikator na połączenia telefoniczne, listy i emaile
klasyfikator na gole, home run (baseball) i etc (sport)
klasyfikator na rundy lub punkty (sztuki walki; w judo, kendo itp.)",,DICTIONARY2_SOURCE,DUPLICATE 6939,GroupId: 1522150
159,WORD_NOUN,,HIRAGANA,Genki 1-2,,御手洗い,おてあらい,,otearai,toaleta,"dosł: miejsce, gdzie myje się ręce",DICTIONARY2_SOURCE,,GroupId: 1002100
160,WORD_NOUN,,HIRAGANA,"Genki 1-2
Genki kanji 2-20",,喫茶店,きっさてん,,kissaten,"kawiarnia
bar kawowy
kissaten
tradycyjny rodzaj kawiarni z atmosferą retro (wyjaśnienie)",,DICTIONARY2_SOURCE,DUPLICATE 26103,GroupId: 1226440
161,WORD_NOUN,,HIRAGANA,"Genki 1-2
Genki kanji 1-5
Genki kanji 2-22",,銀行,ぎんこう,,ginkou,"bank
instytucja bankowa",,DICTIONARY2_SOURCE,,GroupId: 1243490
162,WORD_NOUN,,HIRAGANA,"Genki 1-2
Genki kanji 2-18",,図書館,としょかん,,toshokan,"biblioteka
księgozbiór",w budynku,DICTIONARY2_SOURCE,DUPLICATE 26104,GroupId: 1370420
163,WORD_NOUN,,HIRAGANA,Genki 1-2,,郵便局,ゆうびんきょく,,yuubinkyoku,"poczta
urząd pocztowy
placówka pocztowa",,DICTIONARY2_SOURCE,,GroupId: 1542430
164,"WORD_ADVERB
WORD_NOUN
WORD_NOUN_SUFFIX",,HIRAGANA,Genki 1-2,,幾ら,いくら,,ikura,"ile (koszty)
jak dużo (koszty)
coś ponad (po zaokrągleniu liczby, szczególnie kwoty pieniędzy)
jednak (dużo) (jako いくら...〜ても, いくら...〜でも, etc.)
bez względu na to jak (jako いくら...〜ても, いくら...〜でも, etc.)",pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,DUPLICATE 314915,GroupId: 1219980
165,WORD_NOUN,,HIRAGANA,Genki 1-2,,円,えん,,en,"jen (japońska jednostka monetarna)
koło (pierwotne znaczenie)
krąg (pierwotne znaczenie)",,DICTIONARY2_SOURCE,DUPLICATE 29577,GroupId: 1175570
166,WORD_ADJECTIVE_I,,HIRAGANA,"Genki 1-2
Genki kanji 1-7",,高い,たかい,,takai,"wysoki
drogi
kosztowny
wysoki (poziom)
powyżej średniej (np. stopień, jakość)
głośny
wysoki (o dźwięku)
piskliwy",,"DICTIONARY2_SOURCE
EDICT_TRANSLATE_INFO_GROUP_DIFF","DUPLICATE 306136
DUPLICATE 306137
DUPLICATE 306138",GroupId: 1283190
167,WORD_EXPRESSION,,HIRAGANA,Genki 1-2,,-,いらっしゃいませ,,irasshaimase,witamy,"używane przy wejściu np. do sklepu, restauracji i etc",DICTIONARY2_SOURCE,,GroupId: 1000930
168,WORD_EXPRESSION,,HIRAGANA,Genki 1-2,を,お願いします,おねがいします,o,onegai shimasu,proszę,pokornie,DICTIONARY2_SOURCE,,GroupId: 1001720
169,WORD_EXPRESSION,,HIRAGANA,Genki 1-2,を,下さい,ください,o,kudasai,"proszę (dać mi) (nieregularny tryb rozkazujący od くださる)
proszę (zrób dla mnie; po formie te czasowników lub rzeczowników z prefiksem o- lub go-)",honoryfikatywnie; pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,,GroupId: 1184270
170,WORD_CONJUNCTION,,HIRAGANA,Genki 1-2,,-,じゃあ,,jaa,"wtedy
wówczas
więc","od では, połączenie partykuł de i wa",DICTIONARY2_SOURCE,,GroupId: 1005900
171,"WORD_ADVERB
WORD_NOUN",,HIRAGANA,Genki 1-2,,-,どうぞ,,douzo,"proszę
proszę bardzo (przy udzielaniu pozwolenia lub przyjmowaniu prośby)
proszę nie krępuj się (przy udzielaniu pozwolenia lub przyjmowaniu prośby)
proszę (kiedy wręcza się komuś coś)
dawać (język dzieci)",,DICTIONARY2_SOURCE,,GroupId: 1189130
172,"WORD_INTERJECTION
WORD_ADVERB",,HIRAGANA,"Genki 1-2
Zwroty grzecznościowe",,-,どうも,,doumo,"dziękuję (skrót; np. przy otrzymywaniu czegoś)
bardzo (dziękuję)
bardzo (przepraszam)
bardzo (żałuję)
całkiem
dość
dosyć
bardzo
jakoś
wbrew sobie
próbować jak się da
bez względu na to, jak bardzo ktoś się stara
witam
cześć
do widzenia
pa",,DICTIONARY2_SOURCE,,GroupId: 1009000
173,"WORD_COPULA
WORD_VERB_AUX",,HIRAGANA,Genki 1-2,,-,です,,desu,"być
jest",uprzejmie,DICTIONARY2_SOURCE,"DUPLICATE 89037
DUPLICATE 89039",GroupId: 1628500
174,WORD_EXPRESSION,,HIRAGANA,Genki 1-2,,-,でわありません,,dewa arimasen,nie jest,"oficjalnie, uprzejmie",IGNORE_NO_JMEDICT,,
175,WORD_EXPRESSION,,HIRAGANA,Genki 1-2,,-,じゃありません,,ja arimasen,nie jest,mniej oficjalnie,IGNORE_NO_JMEDICT,,
176,"WORD_NOUN
WORD_NUMBER",,HIRAGANA,"Genki 1-2
Genki kanji 1-3",,三百,さんびゃく,,san byaku,"300
trzysta
300 mon
drobna kwota
drobiazg
krętacz (skrót)",,DICTIONARY2_SOURCE,,GroupId: 1301490
177,WORD_NUMBER,,HIRAGANA,"Genki 1-2
Genki kanji 1-3",,六百,ろっぴゃく,,roppyaku,"600
sześćset",,DICTIONARY2_SOURCE,,GroupId: 2143010
178,"WORD_NOUN
WORD_NUMBER",,HIRAGANA,"Genki 1-2
Genki kanji 1-3",,八百,はっぴゃく,,happyaku,"800
osiemset
mnogość
duża liczba",,DICTIONARY2_SOURCE,DUPLICATE 26109,GroupId: 2038570
179,WORD_NUMBER,,HIRAGANA,Genki 1-2,,千,せん,,sen,"1000
1,000
tysiąc",阡 i 仟 są używane w dokumentach prawnych,DICTIONARY2_SOURCE,"DUPLICATE 6530
DUPLICATE 212181",GroupId: 1388740
180,"WORD_NOUN
WORD_NUMBER",,HIRAGANA,"Genki 1-2
Genki kanji 1-3",,三千,さんぜん,,sanzen,"3000
trzy tysiące
wiele",,DICTIONARY2_SOURCE,,GroupId: 1301110
181,"WORD_NOUN
WORD_NUMBER",,HIRAGANA,"Genki 1-2
Genki kanji 1-3",,八千,はっせん,,hassen,"8000
osiem tysięcy
wiele",,DICTIONARY2_SOURCE,DUPLICATE 26112,GroupId: 2220420
